"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Invested Capital","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
23,"WB",1492.53,8.38%,6.85%,12.46%,8.11%,3.35,3.35,0.48,0.48,77.08%,28.22%,26.61%,3/18/2026 8:30:00 AM,9.54,-0.52%,586624
24,"KDP",38382.31,3.37%,3.82%,8.36%,5.19%,0.64,0.43,0.57,0.70,51.58%,21.54%,12.52%,2/24/2026 8:30:00 AM,28.25,0.71%,7852772
25,"ASRV",61.79,3.21%,0.39%,4.95%,3.42%,0.32,,0.37,0.37,,7.69%,6.35%,10/21/2025 8:30:00 AM,3.74,-0.53%,26827
26,"GBLI",409.69,4.91%,1.60%,4.01%,3.85%,1.11,,0.01,0.01,,8.20%,6.22%,3/10/2026 8:30:00 AM,28.50,1.42%,2751
27,"EXC",50489.98,3.41%,2.47%,9.94%,3.61%,0.92,0.84,1.66,1.76,27.92%,21.21%,11.41%,2/12/2026 8:30:00 AM,49.36,1.21%,11572689
28,"EVRG",19196.28,3.33%,2.48%,8.48%,3.65%,0.49,0.27,1.29,1.51,32.28%,25.19%,14.45%,2/19/2026 8:30:00 AM,83.36,0.55%,1779491
29,"PAA",15578.14,7.81%,4.17%,12.03%,5.71%,0.96,0.92,1.11,1.17,4.42%,3.65%,2.64%,2/6/2026 8:30:00 AM,22.08,0.36%,5668476
30,"MDLZ",74859.79,3.53%,3.50%,9.29%,5.61%,0.59,0.39,0.69,0.85,30.85%,12.35%,6.36%,2/3/2026 4:30:00 PM,58.40,0.38%,9391180
31,"NKSH",235.61,4.08%,0.87%,9.27%,8.77%,0.06,,0.01,0.28,,24.89%,18.55%,1/22/2026 4:30:00 PM,37.01,-1.10%,24287
32,"PECO",5361.33,3.43%,2.15%,4.83%,2.41%,1.19,1.19,1.02,1.09,34.98%,27.15%,15.20%,2/5/2026 4:30:00 PM,38.71,-0.79%,606998
33,"ARLP",3410.75,9.05%,10.68%,16.76%,13.48%,2.10,1.41,0.24,0.25,21.34%,17.56%,14.03%,2/2/2026 8:30:00 AM,26.51,-1.41%,403107
34,"KHC",29049.09,6.54%,-6.87%,-12.87%,-9.52%,1.15,0.79,0.47,0.52,33.41%,18.73%,-23.44%,2/11/2026 8:30:00 AM,24.54,1.28%,18529933
35,"DGICA",633.66,4.25%,4.44%,13.38%,11.75%,0.35,,0.05,0.05,,10.11%,8.11%,2/19/2026 8:30:00 AM,17.52,-0.40%,94405
36,"GDEN",748.51,3.57%,-0.58%,-1.35%,-0.66%,1.17,1.07,1.18,1.23,39.53%,5.12%,-0.95%,2/27/2026 8:30:00 AM,28.57,-0.38%,98672
37,"REFI",258.65,16.11%,9.02%,11.82%,8.69%,2.16,2.16,0.33,0.33,87.22%,68.80%,57.38%,3/12/2026 8:30:00 AM,12.27,-0.57%,196656
38,"SAFT",1096.36,4.88%,4.50%,11.54%,10.43%,0.67,,0.06,0.07,,9.62%,7.86%,2/25/2026 4:30:00 PM,74.93,-0.39%,87916
39,"SAMG",184.80,5.43%,3.88%,9.23%,8.47%,1.46,1.46,0.33,0.36,,9.69%,5.28%,10/30/2025 4:30:00 PM,15.10,-0.92%,35708
40,"SEVN",194.33,13.02%,2.01%,5.10%,4.43%,0.27,0.27,0.05,1.48,82.33%,76.33%,25.89%,2/18/2026 4:30:00 PM,8.60,-0.69%,88730
41,"UBFO",182.56,4.63%,1.00%,9.10%,8.23%,0.32,,0.07,0.07,,25.49%,18.76%,1/22/2026 4:30:00 PM,10.37,-0.77%,20441
42,"TROW",19713.79,5.72%,14.41%,19.21%,18.07%,3.10,3.10,0.04,0.04,78.89%,35.40%,27.84%,2/4/2026 8:30:00 AM,90.40,-1.78%,2086354
43,"AGNC",11797.32,13.53%,1.64%,15.08%,12.12%,0.18,0.18,0.00,8.21,100.00%,236.44%,79.01%,1/26/2026 4:30:00 PM,10.64,-2.39%,20768930
44,"KMB",34712.45,4.97%,10.25%,147.22%,24.54%,0.75,0.54,4.48,5.03,35.67%,14.70%,11.73%,1/27/2026 8:30:00 AM,104.58,-0.31%,5061889
45,"LAMR",13778.62,4.70%,8.69%,57.04%,10.77%,0.58,0.58,4.38,4.86,53.26%,31.42%,25.89%,2/20/2026 8:30:00 AM,136.04,-1.75%,399718
46,"GOOD",602.08,9.71%,1.61%,5.53%,0.57%,1.68,1.68,2.38,2.49,42.04%,37.16%,4.09%,2/18/2026 4:30:00 PM,12.36,-0.80%,352361
47,"WABC",1221.89,3.70%,1.93%,12.74%,12.24%,0.25,,0.02,0.17,,57.65%,42.75%,1/15/2026 8:30:00 AM,50.18,-1.20%,214800
48,"GAIN",537.60,7.11%,10.35%,22.16%,10.30%,0.17,0.17,0.96,0.96,55.09%,169.80%,127.18%,2/3/2026 4:30:00 PM,13.50,-1.53%,277018
49,"SFD",9540.84,4.02%,7.86%,14.44%,9.83%,3.10,1.44,0.36,0.37,13.88%,8.62%,5.63%,10/28/2025 8:30:00 AM,24.27,0.04%,817450
50,"JRSH",38.74,6.56%,2.19%,2.84%,2.82%,2.79,1.11,0.00,0.15,15.93%,2.90%,1.18%,2/9/2026 8:30:00 AM,3.05,-0.97%,24321
51,"CVGW",462.58,3.09%,6.67%,9.72%,8.76%,2.47,1.70,0.09,0.11,9.82%,3.02%,3.05%,3/12/2026 4:30:00 PM,25.88,0.23%,106491
52,"VABK",210.66,4.53%,1.18%,11.18%,9.00%,0.11,,0.16,0.16,,28.90%,23.11%,1/29/2026 8:30:00 AM,39.06,1.56%,27487
53,"MCBS",816.71,3.46%,1.64%,14.23%,6.42%,0.51,,0.97,0.97,,39.61%,27.81%,1/30/2026 8:30:00 AM,28.34,-0.14%,130327
54,"NWE",4283.23,3.86%,2.13%,6.31%,2.98%,0.72,0.53,1.10,1.19,59.07%,20.23%,11.24%,2/12/2026 8:30:00 AM,69.71,-0.90%,390279
55,"CPB",7691.86,6.15%,3.69%,14.82%,5.61%,0.82,0.34,1.60,1.85,29.84%,13.50%,5.69%,3/11/2026 8:30:00 AM,25.80,2.95%,8298852
56,"ERIC",34186.91,3.10%,10.19%,28.83%,18.78%,1.29,1.08,0.32,0.37,48.13%,13.90%,12.14%,1/23/2026 8:30:00 AM,11.13,-1.15%,7015978
57,"HAS",13293.40,4.49%,-5.42%,-38.02%,-9.45%,1.38,1.24,5.34,6.32,70.31%,22.54%,-6.86%,2/10/2026 8:30:00 AM,94.49,-0.92%,1489239
58,"HNNA",78.60,5.66%,5.79%,9.42%,9.13%,1.75,1.75,0.00,0.41,84.38%,34.90%,26.52%,2/5/2026 4:30:00 PM,9.96,-1.97%,6464
59,"RGCO",233.87,3.74%,3.81%,11.30%,5.06%,0.80,0.58,1.19,1.34,21.07%,17.97%,13.12%,2/5/2026 4:30:00 PM,22.50,-0.75%,15360
60,"SWBI",622.47,3.72%,2.15%,3.30%,2.55%,4.50,1.48,0.29,0.30,26.51%,4.65%,2.47%,3/5/2026 4:30:00 PM,13.99,18.66%,3433443
61,"ATLO",236.84,3.15%,0.89%,9.95%,8.30%,0.37,,0.10,0.29,,24.29%,19.36%,,26.64,-0.99%,42711
62,"ICMB",40.52,16.90%,-0.69%,-1.90%,-0.72%,1.44,1.44,1.75,1.75,75.05%,42.21%,-8.40%,11/13/2025 8:30:00 AM,2.81,-3.77%,22061
63,"ARTNA",349.21,3.68%,2.76%,9.25%,5.32%,0.68,0.54,0.70,0.71,37.21%,31.75%,20.16%,10/30/2025 4:30:00 PM,33.73,0.03%,23643
64,"PEBO",1148.63,5.21%,1.12%,9.13%,7.46%,0.05,,0.18,0.62,,22.54%,17.11%,1/20/2026 8:30:00 AM,31.98,-1.14%,229630
65,"FDBC",251.22,3.81%,1.06%,12.74%,11.52%,0.27,,0.03,0.03,,23.44%,20.12%,1/28/2026 8:30:00 AM,43.56,0.11%,8768
66,"CZNC",396.98,5.02%,0.81%,7.54%,4.38%,0.25,,0.55,0.55,,21.51%,13.68%,1/28/2026 4:30:00 PM,22.30,0.04%,64769
67,"UBCP",87.99,6.20%,0.89%,11.10%,4.44%,0.13,,1.43,0.41,,16.14%,15.73%,2/4/2026 4:30:00 PM,15.24,-0.07%,6976
68,"KRT",456.86,7.88%,9.93%,19.43%,14.23%,2.14,1.09,0.38,0.60,37.03%,8.77%,6.67%,3/12/2026 4:30:00 PM,22.73,-2.82%,63413
69,"OCSL",1009.46,13.53%,1.04%,2.24%,1.10%,0.89,0.89,1.05,1.12,87.53%,47.30%,10.52%,2/4/2026 8:30:00 AM,11.46,0.00%,614271
70,"CFFN",906.32,4.87%,0.75%,7.04%,2.80%,0.05,,1.49,1.76,,20.76%,16.96%,1/28/2026 8:30:00 AM,6.98,-1.55%,1077633
71,"NECB",328.02,3.42%,2.18%,13.26%,10.40%,0.34,,0.21,0.21,,39.71%,28.32%,1/28/2026 4:30:00 PM,23.39,-1.12%,41750
72,"SELF",58.27,5.60%,2.68%,3.70%,2.80%,3.61,3.61,0.34,0.34,49.39%,18.61%,13.80%,11/7/2025 4:30:00 PM,5.14,0.19%,20288
73,"EMBC",537.13,6.62%,12.61%,,17.94%,2.64,1.87,,,63.73%,32.06%,12.92%,2/5/2026 8:30:00 AM,9.07,-3.92%,997275
74,"SUNS",126.29,12.75%,5.80%,8.33%,4.91%,1.12,1.12,0.36,0.36,,66.72%,55.42%,3/12/2026 8:30:00 AM,9.41,-2.49%,90340
75,"MATW",798.38,3.94%,1.35%,4.73%,2.05%,1.51,0.91,1.04,1.08,34.18%,1.24%,1.64%,2/3/2026 4:30:00 PM,25.65,-0.31%,181023
76,"PAYX",36201.87,4.35%,11.79%,40.88%,18.78%,1.27,1.27,1.19,1.30,73.36%,42.44%,26.45%,12/19/2025 8:30:00 AM,100.85,2.51%,5007018
77,"IEP",5167.77,24.66%,-1.93%,-9.85%,-3.04%,2.85,2.47,2.55,3.11,13.20%,4.75%,-2.97%,2/25/2026 8:30:00 AM,8.11,-1.34%,2270648
78,"BCIC",129.77,18.93%,2.35%,5.93%,2.23%,5.75,5.75,1.47,1.47,71.34%,81.72%,28.94%,3/5/2026 4:30:00 PM,9.92,-13.13%,261645
79,"UG",29.05,7.78%,15.41%,17.85%,18.52%,7.04,6.16,0.00,0.00,50.32%,20.65%,19.48%,11/6/2025 8:30:00 AM,6.43,-1.08%,2411
80,"TOWN",3072.76,3.33%,0.92%,7.41%,6.04%,0.08,,0.16,0.17,,23.78%,15.18%,1/28/2026 4:30:00 PM,33.31,-1.27%,509129
81,"TRIN",1240.14,13.68%,6.37%,14.15%,5.66%,0.43,0.43,1.19,1.19,100.00%,93.07%,58.39%,2/25/2026 8:30:00 AM,14.91,-0.80%,1036920
82,"IMMR",196.97,3.45%,10.89%,35.11%,15.13%,1.72,1.04,0.78,1.01,24.29%,8.20%,6.68%,,6.08,-0.33%,200262
83,"IGIC",1077.43,4.79%,7.37%,18.64%,18.54%,0.77,,0.00,0.00,,23.20%,24.62%,2/24/2026 4:30:00 PM,24.51,-1.05%,56482
84,"NWBI",1794.60,6.51%,0.81%,7.22%,5.51%,0.02,,0.21,0.39,,23.39%,14.33%,1/26/2026 4:30:00 PM,12.28,-1.37%,1287088
85,"LKQ",8029.01,3.81%,4.08%,9.78%,5.37%,1.67,0.58,0.73,0.77,36.02%,8.05%,4.36%,2/19/2026 8:30:00 AM,31.47,0.03%,1518487
